Date	input3...9.	UT...5.	ReturnAUM.RGE	AdjAUM.AdjGE	GE_USDCAD	SPX_USDCAD	EU_USDCAD	UK_GBPCAD	JP_JPYCAD
06/15/2017	22662669071	0	22654715725	22657779328	-0.000350945	0.004596689	-0.008560938	-0.002544466	-0.013440191
06/16/2017	22632515379	75000	22612928162	22654790725	-0.000865446	-0.004078804	0.00657142	0.004798865	0.002171549
06/19/2017	22714479704	0	22807172403	22612928162	0.004080776	0.005491452	0.003017347	0.001593413	0.000661262
06/20/2017	22695999406	0	22657962894	22807172403	-0.001675913	-0.001167238	-0.005180772	-0.012187399	0.012537168
06/21/2017	22685217395	0	22675327876	22657962894	-0.000435946	0.000245341	0.000473167	0.001246474	0.001074139
06/22/2017	22590691051	0	22505628841	22675327876	-0.003765366	-0.005044254	-0.003198621	-0.005978726	-0.008478212
06/23/2017	22679832064	0	22774203488	22505628841	0.004161028	0.003908245	0.003809544	0.006364432	0.0041256
06/26/2017	22660744828	0	22659371363	22774203488	-6.06E-05	-0.001042306	0.002506302	0.001776576	-0.005967132
06/27/2017	22414645948	0	22208299048	22659371363	-0.009205896	-0.012155833	-0.004546416	-0.002795128	-0.004111991
06/28/2017	22423695922	0	22387692708	22208299048	-0.001605588	-0.00041128	-0.002832637	-0.002930202	-0.016322072
06/30/2017	22145229728	0	22105938174	21907585363	-0.001774267	0.001379035	-0.005369718	-0.00585207	-0.014352184
07/04/2017	22069376310	0	21917929758	22105938174	-0.006862294	-0.006001847	-0.010285535	-0.009454332	-0.005731461
07/05/2017	22234648543	620000	22395882110	21918549758	0.007251456	0.00792651	0.00624549	0.007706162	0.00418056
07/06/2017	22012075932	0	21769229474	22395882110	-0.01103242	-0.014664264	-0.005301739	-0.007611935	-0.002411096
07/07/2017	22001816208	0	21979297782	21769229474	-0.00102348	0.003173512	-0.005095061	-0.006547163	-0.016980896
07/10/2017	22024990167	0	22046244928	21979297782	0.000965029	-0.000159313	0.00250721	0.000124045	0.007478899
07/11/2017	22091783793	0	22152496200	22046244928	0.002748189	0.002709282	-0.000393372	-0.003662706	0.008540441
07/12/2017	22101452360	0	22130601917	22152496200	0.001318898	-0.000373025	0.007459739	0.007837359	-0.010682117
07/13/2017	22015236089	0	21930395540	22130601917	-0.00385372	-0.004102474	-0.004109171	-0.002950167	-0.00328393
07/14/2017	22005627866	0	21999493893	21930395540	-0.000278746	-0.001356169	-0.000392608	0.000826209	0.001589546
07/17/2017	21984614028	0	21951612463	21999493893	-0.001501121	-0.001828616	0.000327501	0.000492265	0.003150391
07/18/2017	21973910164	0	21955781812	21951612463	-0.000824994	-0.00078673	-0.002917727	-0.007041846	-0.006256304
07/19/2017	22007437995	0	22048392500	21955781812	0.001860939	0.002626384	-0.00046136	0.004496934	0.000203541
07/20/2017	21579557106	-388985500	21556094336	21659407001	-0.001087268	-0.003686073	0.002572761	-0.000248082	0.005563407
07/21/2017	21494441295	0	21402111744	21556094336	-0.004295508	-0.002359048	-0.010180436	-0.006317845	0.000567413
07/24/2017	21422563112	0	21345474933	21402111744	-0.003598457	-0.002698539	-0.0052474	-0.007349492	-0.008243078
07/25/2017	21521773044	0	21628389001	21345474933	0.004953865	0.004928148	0.007681148	0.009899952	-0.008140132
